Local Date,Local Time,Close,Net,%Chg,Open,Low,High
24-Jul-2023,10:05,"7,878.78",+0.65,+0.01%,"7,878.04","7,873.20","7,880.86"
24-Jul-2023,10:00,"7,878.13",+18.67,+0.24%,"7,861.97","7,861.97","7,879.24"
24-Jul-2023,09:55,"7,859.46",-33.11,-0.42%,"7,896.28","7,859.46","7,896.28"
24-Jul-2023,09:50,"7,892.57",-25.43,-0.32%,"7,918.44","7,884.06","7,918.44"
24-Jul-2023,09:45,"7,918.00",+1.89,+0.02%,"7,917.71","7,909.26","7,924.71"
24-Jul-2023,09:40,"7,916.11",-14.65,-0.18%,"7,927.99","7,909.62","7,934.58"
24-Jul-2023,09:35,"7,930.76",+71.38,+0.91%,"7,859.38","7,859.38","7,930.76"
21-Jul-2023,16:20,"7,859.38",-0.03,-0.00%,"7,859.38","7,859.38","7,859.38"
21-Jul-2023,16:05,"7,859.41",-1.10,-0.01%,"7,860.60","7,859.40","7,860.60"
21-Jul-2023,16:00,"7,860.51",+6.65,+0.08%,"7,853.45","7,853.45","7,862.25"
21-Jul-2023,15:55,"7,853.86",-2.91,-0.04%,"7,855.04","7,849.03","7,874.78"
21-Jul-2023,15:50,"7,856.77",-1.78,-0.02%,"7,857.77","7,854.92","7,864.31"
21-Jul-2023,15:45,"7,858.55",+7.48,+0.10%,"7,851.04","7,848.67","7,858.55"
21-Jul-2023,15:40,"7,851.07",+0.07,+0.00%,"7,850.46","7,850.32","7,858.71"
21-Jul-2023,15:35,"7,851.00",-13.95,-0.18%,"7,862.07","7,851.00","7,862.07"
21-Jul-2023,15:30,"7,864.95",+3.35,+0.04%,"7,861.54","7,857.72","7,866.64"
21-Jul-2023,15:25,"7,861.60",+0.41,+0.01%,"7,861.75","7,855.27","7,870.43"
21-Jul-2023,15:20,"7,861.19",+10.39,+0.13%,"7,853.19","7,852.33","7,861.19"
21-Jul-2023,15:15,"7,850.80",-7.37,-0.09%,"7,858.80","7,850.80","7,858.80"
21-Jul-2023,15:10,"7,858.17",-13.57,-0.17%,"7,870.82","7,858.17","7,871.71"
21-Jul-2023,15:05,"7,871.74",-7.60,-0.10%,"7,878.96","7,871.74","7,879.20"
21-Jul-2023,15:00,"7,879.34",-8.77,-0.11%,"7,887.42","7,877.79","7,887.42"
21-Jul-2023,14:55,"7,888.11",-9.05,-0.11%,"7,896.59","7,886.83","7,896.59"
21-Jul-2023,14:50,"7,897.16",-0.57,-0.01%,"7,895.35","7,895.35","7,900.66"
21-Jul-2023,14:45,"7,897.73",+7.48,+0.09%,"7,890.19","7,890.19","7,897.84"
21-Jul-2023,14:40,"7,890.25",+1.79,+0.02%,"7,888.38","7,888.38","7,895.23"
21-Jul-2023,14:35,"7,888.46",-4.08,-0.05%,"7,892.75","7,884.38","7,892.75"
21-Jul-2023,14:30,"7,892.54",-2.01,-0.03%,"7,893.64","7,890.10","7,895.99"
21-Jul-2023,14:25,"7,894.55",-1.02,-0.01%,"7,896.53","7,892.82","7,897.94"
21-Jul-2023,14:20,"7,895.57",+6.74,+0.09%,"7,888.94","7,886.83","7,898.91"
21-Jul-2023,14:15,"7,888.83",-19.61,-0.25%,"7,908.68","7,888.83","7,908.95"
21-Jul-2023,14:10,"7,908.44",-2.01,-0.03%,"7,910.08","7,904.75","7,912.15"
