Local Date,Local Time,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,BTC_Log_Change,BTC_Bid_ask_spread
2023-09-29 09:40:00,2023-09-29 09:40:00,26957.07,26958.68,27047.67,26927.52,27015.36,757,-58.2799999999988,0.0004298478882294227,1.610000000000582
2023-09-29 09:45:00,2023-09-29 09:45:00,26956.06,26958.59,26964.5,26883.38,26964.5,1021,-1.0099999999984,-0.0018844070751676406,2.529999999998836
2023-09-29 09:50:00,2023-09-29 09:50:00,26920.4,26921.4,26956.11,26881.23,26943.5,992,-35.6599999999999,-0.0007791051815039852,1.0
2023-09-29 09:55:00,2023-09-29 09:55:00,26919.8,26922.08,26924.0,26865.29,26906.09,814,-0.600000000002183,-0.00138942584403504,2.280000000002474
2023-09-29 10:00:00,2023-09-29 10:00:00,26890.93,26892.03,26934.0,26867.28,26919.25,785,-28.869999999999,0.0004889890249545977,1.0999999999985448
2023-09-29 10:05:00,2023-09-29 10:05:00,26886.0,26892.0,26905.0,26866.78,26891.0,818,-4.93000000000029,-0.0010499859263020848,6.0
2023-09-29 10:10:00,2023-09-29 10:10:00,26736.0,26739.0,26900.32,26679.0,26888.6,1015,-150.0,-8.925317412530054e-05,3.0
2023-09-29 10:15:00,2023-09-29 10:15:00,26793.0,26794.0,26799.59,26699.0,26738.0,1124,57.0,-0.005616630400168264,1.0
2023-09-29 10:20:00,2023-09-29 10:20:00,26751.06,26752.81,26825.0,26738.88,26784.09,1074,-41.9399999999987,0.0017222799555423076,1.75
2023-09-29 10:25:00,2023-09-29 10:25:00,26739.0,26740.0,26809.24,26733.02,26744.0,1004,-12.0600000000013,-0.0014979053986756295,1.0
2023-09-29 10:30:00,2023-09-29 10:30:00,26779.36,26782.18,26786.14,26726.68,26738.39,997,40.3600000000006,-0.00020978868074426576,2.819999999999709
2023-09-29 10:35:00,2023-09-29 10:35:00,26899.0,26903.0,26899.0,26771.51,26772.0,946,119.639999999999,0.0012562048013426712,4.0
2023-09-29 10:40:00,2023-09-29 10:40:00,26987.06,26988.26,27091.79,26838.63,26901.0,1245,88.0600000000013,0.0048068953996245264,1.1999999999970896
2023-09-29 10:45:00,2023-09-29 10:45:00,26989.0,26995.0,27013.37,26939.52,26983.0,992,1.93999999999869,0.0030435774367025344,6.0
2023-09-29 10:50:00,2023-09-29 10:50:00,27034.53,27036.76,27056.49,26971.39,26991.0,1015,45.5299999999988,0.0002964390283687169,2.2299999999995634
2023-09-29 10:55:00,2023-09-29 10:55:00,26939.0,26947.0,27046.18,26916.86,27036.0,1048,-95.5299999999988,0.0016658341350163117,8.0
2023-09-29 11:00:00,2023-09-29 11:00:00,26899.0,26905.0,26949.49,26829.37,26944.5,952,-40.0,-0.003390116343244683,6.0
2023-09-29 11:05:00,2023-09-29 11:05:00,26884.0,26889.0,26908.01,26843.39,26896.28,900,-15.0,-0.001791207812833447,5.0
2023-09-29 11:10:00,2023-09-29 11:10:00,26923.0,26928.0,26931.7,26850.65,26887.42,867,39.0,-0.00032946785290510744,5.0
2023-09-29 11:15:00,2023-09-29 11:15:00,26858.36,26858.37,26931.5,26850.14,26923.0,949,-64.6399999999994,0.0013224206458593536,0.00999999999839929
2023-09-29 11:20:00,2023-09-29 11:20:00,26900.0,26904.0,26919.0,26849.0,26857.75,835,41.6399999999994,-0.0024265199728896827,4.0
2023-09-29 11:25:00,2023-09-29 11:25:00,26910.73,26911.77,26921.69,26881.4,26900.0,940,10.7299999999996,0.0015718667056993324,1.0400000000008731
2023-09-29 11:30:00,2023-09-29 11:30:00,26819.21,26821.19,26916.5,26807.0,26912.75,811,-91.5200000000004,0.00047386540322064206,1.9799999999995634
2023-09-29 11:35:00,2023-09-29 11:35:00,26826.66,26829.19,26854.01,26785.0,26820.0,899,7.45000000000073,-0.0034522741574816514,2.529999999998836
2023-09-29 11:40:00,2023-09-29 11:40:00,26841.0,26845.0,26847.25,26796.96,26827.0,990,14.3400000000001,0.00026096519990785496,4.0
2023-09-29 11:45:00,2023-09-29 11:45:00,26871.0,26875.0,26879.0,26822.3,26842.0,883,30.0,0.0005589819221740231,4.0
2023-09-29 11:50:00,2023-09-29 11:50:00,26877.63,26880.16,26885.32,26833.3,26846.84,749,6.63000000000102,0.00018029817791221546,2.529999999998836
2023-09-29 11:55:00,2023-09-29 11:55:00,26863.36,26867.43,26880.18,26814.75,26878.04,674,-14.2700000000004,0.0011614731762064408,4.069999999999709
2023-09-29 12:00:00,2023-09-29 12:00:00,26878.0,26887.0,26898.0,26842.5,26859.0,761,14.6399999999994,-0.0007086360096041014,9.0
2023-09-29 12:05:00,2023-09-29 12:05:00,26885.0,26892.0,26902.45,26860.61,26878.0,940,7.0,0.0007071478047436832,7.0
2023-09-29 12:10:00,2023-09-29 12:10:00,26858.0,26862.0,26905.9,26838.69,26886.0,888,-27.0,0.00029759690718850706,4.0
2023-09-29 12:15:00,2023-09-29 12:15:00,26842.0,26849.0,26876.91,26820.31,26862.76,807,-16.0,-0.000864764189844581,7.0
2023-09-29 12:20:00,2023-09-29 12:20:00,26873.18,26874.14,26879.18,26826.24,26843.0,818,31.1800000000003,-0.0007358615124952892,0.9599999999991269
2023-09-29 12:25:00,2023-09-29 12:25:00,26877.0,26881.0,26882.5,26838.95,26877.5,641,3.81999999999971,0.0012844260475248994,4.0
2023-09-29 12:30:00,2023-09-29 12:30:00,26862.66,26863.4,26882.51,26841.2,26880.25,580,-14.3400000000001,0.00010231082969055733,0.7400000000016007
2023-09-29 12:35:00,2023-09-29 12:35:00,26869.39,26871.33,26870.5,26826.24,26870.5,811,6.72999999999956,-0.0003627856395282299,1.9400000000023283
2023-09-29 12:40:00,2023-09-29 12:40:00,26834.6,26837.42,26871.32,26825.98,26864.25,654,-34.7900000000009,-0.00023262414092129965,2.819999999999709
2023-09-29 12:45:00,2023-09-29 12:45:00,26816.05,26818.59,26850.71,26809.29,26834.6,694,-18.5499999999993,-0.001104306815254631,2.540000000000873
2023-09-29 12:50:00,2023-09-29 12:50:00,26837.11,26839.39,26837.11,26797.68,26820.47,834,21.0600000000013,-0.0005266976756025735,2.279999999998836
2023-09-29 12:55:00,2023-09-29 12:55:00,26852.11,26854.85,26868.47,26822.5,26836.25,796,15.0,0.000588183566007685,2.7399999999979627
2023-09-29 13:00:00,2023-09-29 13:00:00,26871.0,26873.0,26872.44,26843.69,26867.75,633,18.8899999999994,0.0011730971105471798,2.0
2023-09-29 13:05:00,2023-09-29 13:05:00,26863.74,26865.93,26873.25,26847.85,26871.31,685,-7.2599999999984,0.00013249208323367842,2.1899999999986903
